Character;Sentence
Hagrid;Got something for you.
Hagrid;Afraid I might have sat on it at somepoint, but I imagine it'll taste fine just the same.
Hagrid;Baked it myself, words and all.
Harry;Thank you.
Hagrid;It's not every day that your young man turns 11, now is it?
Harry;Excuse me, who are you?
Hagrid;Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts.
Hagrid;Of course, you know all about Hogwarts.
Harry;Sorry, no.
Hagrid;No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?
Harry;Learnt what?
Hagrid;You're a wizard, Harry.
Harry;I'm a what?
Hagrid;A wizard.
Hagrid;And a thumping good one, I'd wager, once you're trained up little.
Harry;No, you've made a mistake.
Harry;I mean...l can't be a wizard.
Harry;I mean, I'm just Harry.
Harry;Just Harry.
Hagrid;Well, Just Harry, did you ever make anything happen?
Hagrid;Anything you couldn't explain, when you were angry or scared?
Harry;Dear Mr. Potter,
Harry;"We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry."""
Vernon;He will not be going there!
Vernon;We swore when we took him in we'd put a stop to all this rubbish.
Harry;You knew? 
Harry;You knew all along and you never told me?
Petunia;Of course we knew.
Petunia;How could you not be?
Petunia;My perfect sister being who she was.
Petunia;My mother and father were so proud the day she got her letter.
Petunia;We have a witch in the family.
Petunia;"Isn't it wonderful?"""
Petunia;I was the only one to see her for what she was.
Petunia;A freak!
Petunia;Then she met that Potter, and then she had you...
Petunia;and I knew you would be the same.
Petunia;Just as strange, just as abnormal.
Petunia;And then, if you please, she went and got herself blown up!
Petunia;And we got landed with you.
Harry;Blown up?
Harry;You told me my parents died in a car crash.
Hagrid;A car crash? 
Hagrid;A car crash killed Lily and James Potter?
Petunia;We had to say something.
Hagrid;It's an outrage!
Hagrid;It's a scandal!
Vernon;He'll not be going.
Hagrid;Oh, and I suppose a great Muggle like yourself's going to stop him, are you?
Harry;Muggle?
Hagrid;Non-magic folk.
Hagrid;This boy's had his name down ever since he were born.
Hagrid;He's going to the finest school of witchcraft and wizardry in the world and...
Hagrid;he'll be under the finest headmaster that Hogwarts has ever seen, Albus Dumbledore.
Vernon;I will not pay to have some crackpot old fool teach him magic tricks.
Hagrid;Never insult Albus Dumbledore in front of me.
Hagrid;Oh, um, I'd appreciate it if you didn't tell anyone at Hogwarts about that.
Hagrid;Strickly speaking, I'm not allowed to do magic.
Harry;Okay.
Hagrid;Ooh, We're a bit behind schedule.
Hagrid;Best be off.
Hagrid;Unless you'd rather stay, of course.
Harry;First year's students will require three sets of plain work robes one wand.
Hagrid;Essential bit of equipment, Harry.
Harry;One pair of dragon hide gloves.
Harry;Hagrid, Do they mean from a real dragon?
Hagrid;They don't mean a penguin, do they?
Hagrid;Crikey. I'd love a dragon.
Harry;You'd like a dragon?
Hagrid;Vastly misunderstood beasts, Harry.
Hagrid;Vastly misunderstood.
Harry;"All students must be equipped with one standard size 2 pewter cauldron and may bring, if they desire, either an owl, a cat or a toad."
Harry;Can we find all this in London?
Hagrid;If you know where to go.
Barkeep Tom;Ah, Hagrid! The usual, I presume?
Hagrid;No, thanks, Tom.
Hagrid;I'm on official Hogwarts business.
Hagrid;Just helping young Harry here buy his school supplies.
Barkeep Tom;Bless my soul.
Barkeep Tom;It's Harry Potter!
Man;Welcome back, Mr. Potter.
Man;Welcome back.
Witch;Doris Crockford, Mr Potter.
Witch;I can't believe I'm meeting you at last.
Quirrell;Harry Potter. Can't tell you how pleased I am to meet you.
Hagrid;Hello, professor. I didn't see you there.
Hagrid;Harry, This is Professor Quirrell. 
Hagrid;He will be your Defense Against the Dark Arts teacher at Hogwarts
Harry;Oh, nice to meet you.
Quirrell;Fearfully fascinating subject.
Quirrell;Not that you need it, eh, Potter?
Hagrid;Yes, well, must be going now.
Hagrid;Lots to buy.
Harry;Goodbye.
Hagrid;See, Harry? You're famous.
Harry;But why am I famous, Hagrid?
Harry;All those people back there, how is it they know who I am?
Hagrid;I'm not sure I'm exactly the right person to tell you that, Harry.
Hagrid;Welcome, Harry, to Diagon Alley.
Hagrid;Here's where you'll get your quills and your ink.
Hagrid;And over there, all your bits and bobs for doing your wizardry.
Boy;It's a world-class racing broom.
Boy;Look at it! The new Nimbus 2000!
Boy;It's the fastest model yet.
Harry;But, Hagrid, how am I to pay for all this?
Harry;I haven't any money.
Hagrid;Well there's your money, Harry.
Hagrid;Gringotts, the wizard bank.
Hagrid;Ain't no safer place, not one.
Hagrid;Except perhaps Hogwarts.
Harry;Hagrid, what exactly are these things?
Hagrid;They're goblins, Harry.
Hagrid;Clever as they come goblins but not the most friendly of beasts.
Hagrid;Best stay close.
Hagrid;Mr. Harry Potter wishes to make a withdrawal.
Goblin;And does Mr. Harry Potter have his key?
Hagrid;Oh, Wait a minute.
Hagrid;Got it here somewhere.
Hagrid;Ha! Here's the little devil.
Hagrid;Oh, and there's something else as well.
Hagrid;Professor Dumbledore gave me this.
Hagrid;It's about You-Know-What in vault you-know-which.
Goblin;Very well.
Griphook;Vault 687.
Griphook;Lamp, please.
Griphook;Key, please.
Hagrid;Didn't think your mum and dad will leave you with nothing, now did ya?
Griphook;Vault 713.
Harry;What's in there, Hagrid?
Hagrid;Can't tell you, Harry.
Hagrid;Hogwarts business. Very secret.
Griphook;Stand back.
Hagrid;Best not to mention this to anyone, Harry.
Harry;I still need... a wand.
Hagrid;A wand? Well, you'll want Ollivanders.
Hagrid;There ain't no place better.
Hagrid;Why don't you run along there and wait.
Hagrid; I just got one more thing I gotta do.
Hagrid; Won't be long.
Harry;Hello?
Harry;Hello?
Ollivander;I wondered when I'd be seeing you, Mr. Potter.
Ollivander;It seems only yesterday that your mother and father were in here buying their first wands.
Ollivander;Here we are.
Ollivander;Give it a wave.
Ollivander;Apparently not.
Ollivander;Perhaps… this
Ollivander;No, no, definitely not.
Ollivander;No matter.
Ollivander;I wonder.. Curious.
Ollivander;Very curious.
Harry;Sorry, but what's curious?
Ollivander;I remember every wand I've ever sold, Mr. Potter.
Ollivander;It so happens that the phoenix whose tail feather resides in your wand, gave another feather.
Ollivander;Just one other.
Ollivander;It is curious that you should be destined for this wand when its brother gave you that scar. 
Harry;And who owned that wand?
Ollivander;We do not speak his name.
Ollivander;The wand chooses the wizard, Mr. Potter.
Ollivander;It's not always clear why.
Ollivander;But I think it is clear that we can expect great things from you.
Ollivander;After all, He-Who-Must-Not-Be-Named did great things.
Ollivander;Terrible yes, but great
Hagrid;Harry! Harry!
Hagrid;Happy birthday.
Hagrid;You all right, Harry?
Hagrid;You seem very quiet.
Harry;He killed my parents, didn't he?
Harry;The one who gave me this.
Harry;You know, Hagrid. 
Harry;I know you do.
Hagrid;First, and understand this Harry because it's very important:
Hagrid;Not all wizards are good.
Hagrid;Some of them go bad.
Hagrid;A few years ago there was a one wizard who went as bad as he can go.
Hagrid; His name was V...
Hagrid;His name was V...
Harry;Maybe if you wrote it down?
Hagrid;No, I can't spell it.
Hagrid;All right, Voldemort.
Harry;Voldemort?
Hagrid;It was dark times, Harry. Dark times.
Hagrid;Voldemort started to gather some followers.
Hagrid;Brought them over to the Dark Side.
Hagrid;Anyone that stood up to him ended up dead.
Hagrid;Your parents fought against him.
Hagrid;But nobody lived once he decided to kill them.
Hagrid;Nobody, not one.
Hagrid;Except you.
Harry;Me? Voldemort tried to kill me?
Hagrid;Yes. That ain't no ordinary cut on your forehead, Harry.
Hagrid;A mark like that only comes from being touched by a curse, and an evil curse at that.
Harry;What happened to V...?
Harry;To You-Know-Who?
Hagrid;Well, some say he died.
Hagrid;Codswallop, in my opinion.
Hagrid;Nope, I reckon he's out there still too tired to carry on.
Hagrid;But one thing's absolutely certain. 
Hagrid;Something about you stumped him that night.
Hagrid;That's why you're famous.
Hagrid;That's why everybody knows your name.
Hagrid;You're the boy who lived.
Hagrid;What are you looking at?
Hagrid;Blimey, is that the time?
Hagrid;Sorry, Harry, I'm gonna have to leave you.
Hagrid;Dumbledore will be wanting his...
Hagrid;Well, he'll be wanting to see me.
Hagrid;Now, uh, your train leaves in 10 minutes.
Hagrid;Here's your ticket. 
Hagrid;Stick to it, Harry that's very important. 
Hagrid;Stick to your ticket.
Harry;Platform 9 3/4?
Harry;But, Hagrid, there must be a mistake.
Harry;This says platform 9 3/4.
Harry;There's no such thing, is there?
Man;Sorry.
Harry;Excuse me. Excuse me.
Trainmaster;Right on your left Madam.
Harry;Excuse me Sir, Can you tell me where I might find platform 9 3/4?
Trainmaster;9 3/4? Think you're being funny, do ya?
Mrs. Weasley;It's the same every year, packed with Muggles, Of course. 
Mrs. Weasley;Come on!
Harry;Muggles?
Mrs. Weasley;Platform 9 3/4, this way.
Mrs. Weasley;All right, Percy, you first.
Mrs. Weasley;Fred, you next.
George;He's not Fred, I am.
Fred;Honestly, woman, you call yourself our mother?
Mrs. Weasley;Oh, I'm sorry, George.
Fred;I'm only joking. I am Fred.
Harry;Excuse me.
Harry;Could you tell me how to...?
Mrs. Weasley;How to get onto the platform?
Mrs. Weasley;Not to worry, dear.
Mrs. Weasley;It's Ron's first time to Hogwarts as well.
Mrs. Weasley;All you've got do is walk straight at the wall between platforms 9 and 10.
Mrs. Weasley;Best do it at a bit of a run if you're nervous.
Ginny;Good luck.
Ron;Excuse me. Do you mind?
Ron;Everywhere else is full.
Harry;No. Not at all.
Ron;I'm Ron, by the way.
Ron;Ron Weasley.
Harry;I'm Harry. Harry Potter.
Ron;So it's true!
Ron;I mean, do you really have the...?
Harry;The what?
Ron;The scar?
Ron;Wicked!
Woman;Anything off the trolley, dears?
Ron;No, thanks. I'm all set.
Harry;We'll take the lot.
Harry;Bertie Bott's Every Flavor Beans?
Ron;They mean every flavor.
Ron;There's chocolate and peppermint and there's also spinach, liver and tripe.
Ron;George sweared he got a bogey-flavoured one once!
Harry;These aren't real frogs, are they?
Ron;It's just a spell.
Ron;Besides, It's the cards you want.
Ron;Each pack's got a famous witch or wizard.
Ron;I've got about 500 myself.
Ron;Watch it!
Ron;Oh, that's rotten luck.
Ron;They've only got one good jump in them to begin with.
Harry;I've got Dumbledore!
Ron;I got about six of him.
Harry;Hey, he's gone!
Ron;Well, you can't expect him to hang around all day, can you?
Ron;This is Scabbers, by the way.
Ron;Pathetic, isn't he?
Harry;Just a little bit.
Ron;Fred gave me a spell as to turn him yellow.
Ron;Want to see?
Harry;Yeah.
Hermione;Has anyone seen a toad?
Hermione;A boy named Neville's lost one
Ron;No.
Hermione;Oh, are you doing magic?
Hermione;Let's see, then.
Ron;Sunshine, daisies, butter mellow.
Ron;Turn this stupid fat rat yellow.
Hermione;Are you sure that's a real spell?
Hermione;Well, it's not very good, is it?
Hermione;Of course, I've only tried a few simple ones myself but they've all worked for me.
Hermione;For example:
Hermione;Oculus Reparo.
Hermione;That's better, isn't it?
Hermione;Holy cricket, you're Harry Potter!
Hermione;I'm Hermione Granger.
Hermione;And you are...?
Ron;I'm Ron Weasley.
Hermione;Pleasure.
Hermione;You two better change into robes.
Hermione;I expect we'll be arriving soon.
Hermione;You've got dirt on your nose, by the way.
Hermione;Did you know?
Hermione;Just there.
Hagrid;Right, then.
Hagrid;First years, this way, please!
Hagrid;Come on, now, first years, don't be shy.
Hagrid;Come on now, hurry up.
Hagrid;Hello, Harry.
Harry;Hey, Hagrid.
Hagrid;Right, then. This way to the boats.
Hagrid;Come on, now, follow me.
Ron;Wicked.
McGonagall;Welcome to Hogwarts.
McGonagall;Now, in a few moments, you'll pass through these doors and join your classmates.
McGonagall;But before you can take your seats, you must be sorted into your houses.
McGonagall;They are Gryffindor, Hufflepuff Ravenclaw and Slytherin.
McGonagall;Now, while you're here, your house will be like your family.
McGonagall;Your triumphs will earn you points.
McGonagall;Any rule-breaking, and you will lose points.
McGonagall;At the end of the year, the house with the most points is awarded the house cup
Neville;Trevor! Sorry.
McGonagall;The Sorting Ceremony will begin momentarily.
Malfoy;It's true then, what they're saying on the train.
Malfoy;Harry Potter has come to Hogwarts.
Whispers;Harry Potter?
Malfoy;This is Crabbe, and Goyle.
Malfoy;And I'm Malfoy.
Malfoy;Draco Malfoy.
Malfoy;Think my name's funny, do you?
Malfoy;I've no need to ask yours.
Malfoy;Red hair and a hand-me-down robe?
Malfoy;You must be a Weasley.
Malfoy;We'll soon find out that some wizarding families are better than others, Potter.
Malfoy;You don't want to go making friends with the wrong sort.
Malfoy;I can help you there.
Harry;I think I can tell the wrong sort for myself, thanks.
McGonagall;We're ready for you now.
McGonagall;Follow me.
Hermione;It's not real, the ceiling. 
Hermione;It's just bewitched to look like the night sky.
Hermione;I read about it in Hogwarts: A History.
McGonagall;All right, will you wait along here, please?
McGonagall;Now, before we begin Professor Dumbledore would like to say a few words.
Dumbledore;I have a few start-of-term notices I wish to announce.
Dumbledore;The first years, please note that the Dark Forest is strictly forbidden to all students.
Dumbledore;Also, our caretaker, Mr. Filch, has asked me to remind you that the third-floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death.
Dumbledore;Thank you.
McGonagall;When I call your name, you will come forth.
McGonagall;I shall place the Sorting Hat on your head and you will be sorted into your houses.
McGonagall;Hermione Granger.
Hermione;Oh, no. Okay, relax.
Ron;Mental, that one, I'm telling you.
Sorting Hat;Ah, right then... hmm... right.
Sorting Hat;Okay. Gryffindor!
McGonagall;Draco Malfoy.
Sorting Hat;Slytherin!
Ron;There isn't a witch or wizard who went bad who wasn't in Slytherin.
McGonagall;Susan Bones.
Ron;Harry, what is it?
Harry;Nothing. Nothing, I'm fine.
Sorting Hat;Let's see I know! Hufflepuff!
McGonagall;Ronald Weasley.
Sorting Hat;Another Weasley!
Sorting Hat;I know just what to do with you.
Sorting Hat;Gryffindor!
McGonagall;Harry Potter.
Sorting Hat;Hmm... difficult, very difficult.
Sorting Hat;Plenty of courage, I see.
Sorting Hat;Not a bad mind, either.
Sorting Hat;There's talent, oh, yes.
Sorting Hat;And a thirst to prove yourself.
Sorting Hat;But where to put you?
Harry;Not Slytherin, not Slytherin!
Sorting Hat;Not Slytherin, eh? Are you sure?
Sorting Hat;You could be great, you know.
Sorting Hat;It's all here, in your head.
Sorting Hat;And Slytherin will help you on the way to greatnesses, no doubt about that.
Sorting Hat;No? Well, if you're sure.
Sorting Hat;Better be...Gryffindor!
McGonagall;Your attention, please.
Dumbledore;Let the feast begin.
Seamus;I'm half and half.
Seamus;My dad's a Muggle. Mum's a witch.
Seamus;Bit of a nasty shock for him when he found out.
Harry;Say, Percy, who's that teacher talking to Professor Quirrell?
Percy;Oh, thats Professor Snape, head of Slytherin house.
Harry;What's he teach?
Percy;Potions.
Percy;But everyone knows, its the Dark Arts he fancies.
Percy;He's been after Quirrell's job for years.
Sir Nicholas;Hello! How are you?
Sir Nicholas;Welcome to Gryffindor.
Girl;Look, It's the Bloody Baron!
Percy;Hello, Sir Nicholas.
Percy;Have a nice summer?
Sir Nicholas;Dismal. Once again, my request to join the Headless Hunt has been denied.
Ron;I know you.
Ron;You're Nearly Headless Nick.
Sir Nicholas;I prefer Sir Nicholas, if you don't mind.
Hermione;Nearly headless?
Hermione;How can you be nearly headless?
Sir Nicholas;Like this.
Percy;Gryffindors, follow me please.
Percy;Keep up. Thank you.
Boy;Ravenclaw, follow me. This way.
Percy;This is the most direct path to the dormitories.
Percy;Oh, and keep an eye on the staircases.
Percy;They like to change.
Percy;Keep up, please, and follow me.
Percy;Quickly now, come on. Come on.
Neville;That picture's moving.
Ron;Look at that one.
Harry;I think she fancies you.
Girl;Oh, look! Look!
Girl;Who's that girl?
Man in paint;Welcome to Hogwarts.
Fat Lady;Password?
Percy;Caput Draconis.
Percy;Follow me, everyone. Keep up.
Percy;Quickly, come on.
Percy;Gather around here.
Percy;Welcome to the Gryffindor common room.
Percy;Boys' dormitory is upstairs and down to your left.
Percy;Girls, the same on your right.
Percy;You'll find that your belongings have already been brought up.
Ron;Made it!
Ron;Can you imagine the look on old McGonagall's face if we were late?
Ron;That was bloody brilliant!
McGonagall;Thank you for that assessment, Mr Weasley.
McGonagall;Perhaps, lt'd be more useful if I were to transfigure Mr. Potter and yourself into a pocket-watch.
McGonagall;That way, one of you might be on time.
Harry;We got lost.
McGonagall;Then perhaps a map?
McGonagall;I trust you don't need one to find your seats.
Snape;There will be no foolish wand-waving or silly incantations in this class.
Snape;As such, I don't expect many of you to appreciate the subtle science and exact art that is potion-making.
Snape;However, for those select few who possess the predisposition I can teach you how to bewitch the mind and ensnare the senses.
Snape;I can tell you how to bottle fame brew glory and even put a stopper in death.
Snape;Then again, maybe some of you have come to Hogwarts in possession of abilities so formidable that you feel confident enough to not pay attention.
Snape;Mr. Potter.
Snape;Our new celebrity.
Snape;Tell me, what would I get if I added powdered root of asphodel to an infusion of wormwood?
Snape;You don't know? Well, let's try again.
Snape;Where, Mr Potter, would you look if I asked you to find me a bezoar?
Harry;I don't know, Sir.
Snape;And what is the difference between monkshood and wolfsbane?
Harry;I don't know, Sir.
Snape;Pity.
Snape;Clearly, fame isn't everything is it, Mr. Potter?
Harry;Clearly, Hermione knows.
Harry;Seems a pity not to ask her.
Snape;Silence.
Snape;Put your hand down, you silly girl!
Snape;For your information, Potter
Snape;Asphodel and wormwood make a sleeping potion so powerful it is known as the Draught of the Living Dead.
Snape;A bezoar is a stone taken from the stomach of a goat and it will save you from most poisons.
Snape;As for monkshood and wolfsbane, they are the same plant, which also goes by the name of aconite.
Snape;Well...
Snape;Why aren't you all copying this down?
Snape;And Gryffindors note that five points will be taken from your house for your classmate's cheek.
Seamus;Eye of rabbit, harp string hum
Seamus;Turn this water into rum.
Seamus;Eye of rabbit...
Harry;What's Seamus trying to do to that glass of water?
Ron;Turn it into rum. 
Ron;Actually managed a weak tea yesterday, before...
Ron;Mail's here.
Harry;Can I borrow this? Thanks.
Dean;Hey, look! Neville's got a Remembrall
Hermione;I've read about those.
Hermione;When the smoke turns red, it means you've forgotten something.
Neville;The only problem is, I can't remember what I've forgotten.
Harry;Hey Ron! Somebody broke into Gringotts.
Harry;Listen.
Harry;"Believed to be the work of Dark wizards or witches unknown Gringotts goblins while acknowledging the breach, insist nothing was taken."
Harry;"The vault in question, number 713, had, in fact, been emptied earlier that very same day."""
Harry;That's odd. 
Harry;That's the vault Hagrid and I went to.
Madam Hooch;Good afternoon, class.
Class;Good afternoon, Madam Hooch.
Madam Hooch;Good afternoon, Amanda.
Madam Hooch;Good afternoon.
Madam Hooch;Welcome to your first flying lesson.
Madam Hooch;Well, what are you waiting for? 
Madam Hooch;Everyone step up to the left side of their broomstick.
Madam Hooch;Come on now, hurry up. 
Madam Hooch;"Stick your right hand over the broom and say, ""Up."""
Class;Up!
Malfoy;Up.
Ron;Up. Up!
Madam Hooch;With feeling.
Hermione;Up. Up. Up!
Ron;Shut up, Harry.
Madam Hooch;Now, once you've got hold of your broom, I want you to mount it.
Madam Hooch;And grip it tight, you don't wanna be sliding off the end.
Madam Hooch;When I blow my whistle, I want each of you to kick off from the ground, hard.
Madam Hooch;Keep your broom steady, hover for a moment
Madam Hooch;Then lean forward slightly and touch back down.
Madam Hooch;On my whistle. Three, two...
Madam Hooch;Mr. Longbottom.
Madam Hooch;Mr. Longbottom!
Neville;Down, down!
Class;Neville!
Madam Hooch;Come back down this instant!
Madam Hooch;Everyone out of the way!
Girl;Is he all right?
Madam Hooch;Oh, dear, it's a broken wrist.
Madam Hooch;Poor boy. Come on now, up you get.
Madam Hooch;Everyone's to keep their feet firmly on the ground while I take Mr Longbottom to the hospital wing.
Madam Hooch;Understand? If I see a single broom in the air the one riding it will find themselves out of Hogwarts before they can say, Quidditch.
Malfoy;Did you see his face?
Malfoy;Maybe if the fat lump had given this a squeeze, he'd have remembered to fall on his fat arse.
Harry;Give it here, Malfoy.
Malfoy;No. I think I'll leave it somewhere for Longbottom to find.
Malfoy;How about on the roof?
Malfoy;What's the matter, Potter?
Malfoy;Bit beyond your reach?
Hermione;Harry, no way!
Hermione;You heard what Madam Hooch said.
Hermione;Besides, you don't even know how to fly.
Hermione;What an idiot.
Harry;Give it here or I'll knock you off your broom!
Malfoy;Is that so?
Malfoy;Have it your way, then.
Boy;Nice going, Harry.
Boy;That was wicked, Harry!
McGonagall;Harry Potter!
McGonagall;Follow me.
McGonagall;You wait here.
McGonagall;Professor Quirrell, excuse me.
McGonagall;Could I borrow Wood for a moment please?
Quirrell;Oh, yes, of course.
McGonagall;Potter, this is Oliver Wood.
McGonagall;Wood, I have found you a Seeker.
Sir Nicholas;Have you heard? 
Sir Nicholas;Harry Potter's the new Gryffindor Seeker. 
Sir Nicholas;I always knew hed do well.
Ron;Seeker? 
Ron;But first years never make their house teams! 
Ron;You must be the youngest Quidditch player in
Harry ;A century, according to McGonagall.
Fred  ;Hey, well done, Harry, 
Fred  ;Wood's just told us!
Ron  ;Fred and George are on the team, too. 
Ron  ;Beaters.
George  ;Our job is to make sure that you don't get bloodied up too bad. 
George  ;Can't make any promises, of course. 
George  ;Rough game, Quidditch.
Fred  ;Brutal. 
Fred  ;But no one's died in years. 
Fred  ;Someone will vanish occasionally  
George  ;But they'll turn up in a month or two!!
Ron  ;Oh, go on, Harry, 
Ron  ;Quidditch is great. 
Ron  ;Best game there is! 
Ron  ;And you'll be great, too!
Harry  ;But I've never even played Quidditch. 
Harry  ;What if I make a fool of myself?
Hermione;You won't make a fool of yourself. 
Hermione;It's in your blood.
Ron  ;Whoa. 
Ron  ;Harry, you never told me your father was a Seeker, too.
Harry  ;I-I didn't know.
Ron  ;I'm telling you, it's spooky. 
Ron  ;She knows more about you than you do.
Harry  ;Who doesn't?
Ron  ;Ahh!
Harry  ;What's happening?
Hermione  ;The staircases change, remember?
Harry;Let's go this way.
Ron ;Before the staircase moves again. 
Ron;Does anybody feel like...we shouldn't be here?
Hermione;We're not supposed to be here. 
Hermione;This is the 3rd floor. 
Hermione;It's forbidden.
Harry  ;Let's go.
Ron  ;It's Filch's cat!
Harry  ;Run! Quick, let's hide through that door!
Harry;It's locked!
Ron  ;That's it, we're done for!
Hermione  ;Oh, move over! 
Hermione;Alohomora
Hermione;Get in
Ron;Alohomora?
Hermione ;Standard book of spells, Chapter 7.
Filch;Anyone here, my sweet? Come on.
Hermione ;Filch is gone.
Ron ;Probably thinks this door's locked.
Hermione ; It was locked.
Harry  ;And for good reason. 
All  ;AHHHHHHH! 
Ron ;What do they think they're doing?? 
Ron ;Keeping a thing like that locked up in a school.
Hermione ; You don't use your eyes, do you? 
Hermione ;Didn't you see what it was standing on?
Ron  ;I wasn't looking at its feet! 
Ron  ;I was a bit preoccupied with its heads. 
Ron  ;Or maybe you didn't notice, there were three!
Hermione  ;It was standing on a trap door. 
Hermione  ;Which means it wasn't there by accident. 
Hermione  ;It's guarding something.
Harry  ;Guarding something?
Hermione  ;That's right. 
Hermione  ;Now, if you two don't mind, I'm going to bed before either of you come up with another clever idea to get us killed...or worse, expelled!
Ron  ;She needs to sort out her priorities!
Oliver ;Quidditch is easy enough to understand. 
Oliver ;Each time has seven players, 3 chasers, 2 beaters, 1 keeper and a seeker that's you. 
